Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,"$16,452.00",6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,"$11,067.00",2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,"$17,189.00",4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,"$15,082.00",2.71,Los Angeles,German,243,5724,4,Health & Wellness,2021-02-03
71,Alpha Innovations,Search,Men 25-34,30 days,Website,0.13,"$18,201.00",5.58,New York,German,202,6745,8,Tech Enthusiasts,2021-03-12
102,TechCorp,Search,Men 18-24,45 days,YouTube,0.09,"$9,941.00",4.54,Chicago,English,207,8334,4,Tech Enthusiasts,2021-04-12
106,Innovate Industries,Social Media,Women 25-34,30 days,Email,0.09,"$7,541.00",3.35,Chicago,Spanish,560,3439,7,Fashionistas,2021-04-16
129,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.06,"$10,639.00",4.32,New York,Spanish,166,5735,10,Health & Wellness,2021-05-09
239,Innovate Industries,Social Media,Women 25-34,60 days,Email,0.08,"$18,074.00",5.99,Chicago,German,587,4909,5,Outdoor Adventurers,2021-08-27
286,TechCorp,Email,Women 35-44,45 days,YouTube,0.06,"$11,813.00",6.03,Miami,German,441,6520,6,Fashionistas,2021-10-13
322,DataTech Solutions,Display,Women 25-34,30 days,Email,0.02,"$5,720.00",3.2,Chicago,English,568,5613,6,Foodies,2021-11-18
550,NexGen Systems,Email,Women 35-44,15 days,Website,0.05,"$5,279.00",7.26,Los Angeles,English,973,1947,2,Outdoor Adventurers,2021-07-04
574,TechCorp,Social Media,Women 35-44,30 days,Email,0.04,"$12,024.00",7.03,Miami,English,971,7660,3,Health & Wellness,2021-07-28
612,Alpha Innovations,Email,Men 18-24,15 days,Website,0.11,"$10,653.00",3.95,Miami,Spanish,670,2367,2,Fashionistas,2021-09-04
719,NexGen Systems,Social Media,Men 25-34,30 days,Instagram,0.14,"$7,184.00",2.42,Chicago,French,525,7470,8,Fashionistas,2021-12-20
796,NexGen Systems,Display,All Ages,30 days,Facebook,0.13,"$8,079.00",6.95,Miami,Spanish,912,5938,7,Tech Enthusiasts,2021-03-07
810,TechCorp,Influencer,Men 25-34,60 days,Facebook,0.05,"$13,552.00",7.52,Chicago,Mandarin,141,5741,4,Health & Wellness,2021-03-21
937,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.15,"$18,187.00",7.57,Los Angeles,Spanish,240,7918,2,Foodies,2021-07-26
948,Alpha Innovations,Search,Women 25-34,15 days,Instagram,0.06,"$7,000.00",5.9,Miami,German,868,8308,7,Fashionistas,2021-08-06
950,NexGen Systems,Social Media,Men 25-34,45 days,Email,0.05,"$9,139.00",2.13,Miami,German,193,8708,1,Fashionistas,2021-08-08
1018,TechCorp,Display,Men 18-24,60 days,Facebook,0.03,"$14,418.00",3.64,New York,Mandarin,234,5821,2,Fashionistas,2021-10-15
1028,TechCorp,Display,Men 18-24,45 days,YouTube,0.07,"$10,731.00",7.32,Chicago,English,857,2466,10,Outdoor Adventurers,2021-10-25
1037,NexGen Systems,Display,Men 18-24,30 days,Email,0.06,"$15,339.00",4.61,Los Angeles,Mandarin,998,8871,4,Health & Wellness,2021-11-03
1041,TechCorp,Search,Women 25-34,45 days,Facebook,0.04,"$19,324.00",7.98,Houston,French,886,2683,7,Outdoor Adventurers,2021-11-07
1046,DataTech Solutions,Influencer,Women 35-44,30 days,Google Ads,0.13,"$5,661.00",3.42,Los Angeles,Mandarin,913,6158,1,Foodies,2021-11-12
1060,Innovate Industries,Email,Men 25-34,30 days,Facebook,0.07,"$18,797.00",4.23,Miami,French,326,7544,2,Health & Wellness,2021-11-26
1070,Alpha Innovations,Email,Women 35-44,60 days,Email,0.14,"$15,534.00",3.85,Miami,English,405,8649,2,Tech Enthusiasts,2021-12-06
1071,DataTech Solutions,Social Media,Men 25-34,60 days,Website,0.11,"$7,980.00",7.49,Miami,English,754,5957,1,Health & Wellness,2021-12-07
1102,Alpha Innovations,Search,Men 25-34,60 days,Website,0.05,"$19,242.00",3.42,Chicago,Spanish,721,3441,4,Tech Enthusiasts,2021-01-07
1157,Innovate Industries,Display,Women 25-34,15 days,Google Ads,0.01,"$6,939.00",5.87,New York,German,868,9416,8,Foodies,2021-03-03
1225,Alpha Innovations,Email,Women 35-44,45 days,Instagram,0.1,"$10,539.00",3.27,Houston,Spanish,908,2673,2,Tech Enthusiasts,2021-05-10
1345,Innovate Industries,Influencer,Women 25-34,45 days,Facebook,0.14,"$8,670.00",5.14,Chicago,French,538,2979,4,Fashionistas,2021-09-07
1399,NexGen Systems,Search,All Ages,60 days,Google Ads,0.04,"$10,336.00",2.98,Houston,German,561,3756,5,Fashionistas,2021-10-31
1417,DataTech Solutions,Search,Women 25-34,30 days,Facebook,0.04,"$10,426.00",7.48,Houston,German,428,4413,10,Tech Enthusiasts,2021-11-18
1418,NexGen Systems,Email,Women 35-44,30 days,Email,0.05,"$14,363.00",6.68,New York,German,797,4606,10,Outdoor Adventurers,2021-11-19
1458,DataTech Solutions,Display,Women 35-44,60 days,Instagram,0.12,"$15,289.00",6.04,Miami,English,715,5090,1,Tech Enthusiasts,2021-12-29
1473,Innovate Industries,Social Media,Women 25-34,60 days,Email,0.01,"$7,215.00",7.32,Miami,English,616,9826,1,Tech Enthusiasts,2021-01-13
1551,TechCorp,Display,Women 25-34,60 days,Facebook,0.01,"$6,311.00",6.34,Miami,English,169,5535,9,Outdoor Adventurers,2021-04-01
1573,DataTech Solutions,Influencer,All Ages,15 days,Facebook,0.13,"$12,918.00",2.13,Chicago,German,690,6400,5,Health & Wellness,2021-04-23
1576,NexGen Systems,Display,Women 25-34,45 days,YouTube,0.07,"$12,511.00",3.99,New York,English,139,7845,10,Foodies,2021-04-26
1577,Alpha Innovations,Influencer,Men 18-24,60 days,YouTube,0.11,"$5,757.00",3.58,Chicago,English,883,9726,1,Outdoor Adventurers,2021-04-27
1649,Innovate Industries,Display,Men 25-34,30 days,YouTube,0.04,"$19,072.00",4.71,New York,Mandarin,768,7851,5,Health & Wellness,2021-07-08
1688,Alpha Innovations,Email,Men 25-34,30 days,Instagram,0.11,"$9,951.00",5.46,New York,Spanish,359,5375,5,Outdoor Adventurers,2021-08-16
1742,DataTech Solutions,Search,All Ages,45 days,Google Ads,0.11,"$14,226.00",6.91,Los Angeles,French,283,8984,7,Health & Wellness,2021-10-09
1791,Alpha Innovations,Search,Women 35-44,15 days,YouTube,0.05,"$15,501.00",7.01,Houston,English,285,9223,2,Fashionistas,2021-11-27
1854,DataTech Solutions,Social Media,Women 35-44,45 days,Email,0.14,"$5,482.00",7.78,Los Angeles,Mandarin,418,8584,7,Tech Enthusiasts,2021-01-29
1902,NexGen Systems,Display,Women 35-44,60 days,Website,0.12,"$12,437.00",7.47,Los Angeles,German,157,9335,2,Tech Enthusiasts,2021-03-18
1934,TechCorp,Influencer,Men 25-34,30 days,Email,0.13,"$18,792.00",7.96,Miami,Spanish,285,1214,7,Foodies,2021-04-19
1966,TechCorp,Display,All Ages,60 days,Facebook,0.04,"$17,873.00",4.95,Los Angeles,Mandarin,754,3624,4,Tech Enthusiasts,2021-05-21
1977,DataTech Solutions,Social Media,Women 35-44,15 days,YouTube,0.07,"$9,998.00",4.5,Miami,French,807,8839,3,Fashionistas,2021-06-01
2000,NexGen Systems,Search,All Ages,30 days,Website,0.06,"$9,122.00",4.61,New York,German,830,3743,6,Outdoor Adventurers,2021-06-24
2003,DataTech Solutions,Search,All Ages,30 days,YouTube,0.13,"$17,916.00",6.04,New York,German,797,9976,2,Fashionistas,2021-06-27
2041,TechCorp,Search,Women 35-44,45 days,Website,0.07,"$15,095.00",6.76,Chicago,French,425,5051,1,Tech Enthusiasts,2021-08-04
2114,Innovate Industries,Influencer,All Ages,30 days,Website,0.09,"$17,575.00",4.14,New York,Mandarin,305,2454,2,Outdoor Adventurers,2021-10-16
2153,NexGen Systems,Search,Women 35-44,30 days,Instagram,0.11,"$8,265.00",3.41,Los Angeles,Spanish,752,8553,7,Tech Enthusiasts,2021-11-24
2265,Alpha Innovations,Search,Men 18-24,15 days,Email,0.14,"$17,422.00",5.18,Miami,Mandarin,538,2472,10,Foodies,2021-03-16
2332,DataTech Solutions,Influencer,All Ages,60 days,Facebook,0.02,"$15,554.00",6.71,Los Angeles,Spanish,232,7129,10,Foodies,2021-05-22
2347,NexGen Systems,Influencer,Men 18-24,45 days,Website,0.02,"$17,991.00",6.95,New York,Mandarin,128,7169,6,Health & Wellness,2021-06-06
2376,Innovate Industries,Influencer,Women 25-34,15 days,Facebook,0.07,"$6,810.00",5.45,Chicago,French,882,7948,9,Outdoor Adventurers,2021-07-05
2380,Innovate Industries,Social Media,Women 25-34,15 days,Website,0.14,"$5,623.00",3.72,New York,French,541,3475,6,Fashionistas,2021-07-09
2430,Alpha Innovations,Email,Women 35-44,60 days,Google Ads,0.14,"$18,513.00",4.62,Chicago,Spanish,788,4863,4,Fashionistas,2021-08-28
2450,TechCorp,Display,Men 18-24,30 days,Google Ads,0.06,"$17,863.00",2.66,Chicago,Spanish,928,8767,7,Outdoor Adventurers,2021-09-17
2505,DataTech Solutions,Social Media,Women 35-44,60 days,Website,0.04,"$12,559.00",6.84,Los Angeles,Mandarin,877,8529,9,Health & Wellness,2021-11-11
2539,DataTech Solutions,Social Media,Men 25-34,45 days,Facebook,0.07,"$16,461.00",5.86,Los Angeles,English,493,7571,7,Outdoor Adventurers,2021-12-15
2541,TechCorp,Social Media,Women 25-34,60 days,YouTube,0.11,"$8,070.00",2.59,New York,French,874,2464,6,Foodies,2021-12-17
2589,Innovate Industries,Email,Women 35-44,45 days,Instagram,0.13,"$14,242.00",2.1,Miami,French,177,6454,9,Health & Wellness,2021-02-03
2628,DataTech Solutions,Email,Men 25-34,45 days,Facebook,0.09,"$16,271.00",7.75,Houston,French,525,7428,10,Fashionistas,2021-03-14
2634,DataTech Solutions,Display,All Ages,60 days,Facebook,0.11,"$13,644.00",5.61,Chicago,English,558,9654,9,Outdoor Adventurers,2021-03-20
2676,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.02,"$19,121.00",2.28,Chicago,Mandarin,936,3392,9,Outdoor Adventurers,2021-05-01
2714,NexGen Systems,Influencer,Men 18-24,60 days,Facebook,0.05,"$8,045.00",6.54,Chicago,French,744,3982,3,Foodies,2021-06-08
2719,TechCorp,Influencer,Women 25-34,60 days,Website,0.01,"$16,703.00",7.82,Houston,Mandarin,233,6593,7,Health & Wellness,2021-06-13
2725,NexGen Systems,Social Media,Women 25-34,30 days,Facebook,0.07,"$19,828.00",5.31,New York,Spanish,263,8563,6,Fashionistas,2021-06-19
2742,Innovate Industries,Influencer,All Ages,15 days,Email,0.06,"$5,347.00",3.29,Chicago,Mandarin,161,3472,10,Tech Enthusiasts,2021-07-06
2768,TechCorp,Email,Women 25-34,15 days,Website,0.02,"$16,538.00",3.86,Miami,English,170,2793,3,Fashionistas,2021-08-01
2816,TechCorp,Influencer,Women 35-44,60 days,Facebook,0.11,"$13,218.00",3.37,Miami,German,136,7795,8,Foodies,2021-09-18
2847,Innovate Industries,Display,Women 35-44,30 days,Instagram,0.03,"$19,573.00",3.1,New York,Mandarin,689,3648,5,Fashionistas,2021-10-19
2864,TechCorp,Social Media,Men 25-34,15 days,Instagram,0.02,"$12,227.00",7.47,Miami,Spanish,199,3263,6,Outdoor Adventurers,2021-11-05
2866,NexGen Systems,Influencer,Women 35-44,60 days,Email,0.06,"$17,667.00",3.45,Los Angeles,Mandarin,544,7065,1,Tech Enthusiasts,2021-11-07
2957,Innovate Industries,Display,Men 25-34,15 days,Website,0.09,"$6,285.00",5.55,Miami,English,884,1549,2,Tech Enthusiasts,2021-02-06
3002,NexGen Systems,Influencer,Women 35-44,45 days,Website,0.13,"$12,265.00",7.69,Chicago,Mandarin,478,5931,8,Outdoor Adventurers,2021-03-23
3017,NexGen Systems,Influencer,Women 35-44,30 days,Email,0.05,"$7,389.00",4.98,Chicago,French,409,1309,9,Outdoor Adventurers,2021-04-07
3058,DataTech Solutions,Social Media,Men 25-34,15 days,Instagram,0.06,"$16,133.00",6.7,Miami,English,833,4290,3,Foodies,2021-05-18
3064,Alpha Innovations,Influencer,All Ages,45 days,Facebook,0.14,"$7,099.00",4.0,Houston,French,260,4157,2,Outdoor Adventurers,2021-05-24
3073,TechCorp,Display,Men 25-34,15 days,Email,0.03,"$15,567.00",3.67,Los Angeles,French,368,4747,6,Fashionistas,2021-06-02
3162,Innovate Industries,Influencer,All Ages,15 days,Email,0.13,"$19,449.00",2.52,New York,Mandarin,243,5638,10,Outdoor Adventurers,2021-08-30
3212,DataTech Solutions,Search,Women 35-44,60 days,Instagram,0.12,"$17,965.00",2.55,New York,Mandarin,256,8403,4,Health & Wellness,2021-10-19
3228,Innovate Industries,Influencer,All Ages,60 days,Website,0.03,"$7,021.00",3.23,New York,German,309,8988,7,Tech Enthusiasts,2021-11-04
3236,Innovate Industries,Social Media,All Ages,45 days,Website,0.13,"$16,789.00",6.92,Los Angeles,English,951,2718,4,Fashionistas,2021-11-12
3243,Innovate Industries,Social Media,Women 25-34,45 days,Website,0.1,"$11,189.00",2.8,Chicago,Spanish,182,7881,6,Outdoor Adventurers,2021-11-19
3289,Alpha Innovations,Display,All Ages,15 days,YouTube,0.07,"$12,899.00",6.29,Los Angeles,German,133,9885,8,Health & Wellness,2021-01-04
3300,TechCorp,Search,Men 18-24,30 days,Email,0.1,"$18,526.00",3.33,Los Angeles,French,570,7929,3,Outdoor Adventurers,2021-01-15
3366,Innovate Industries,Influencer,All Ages,45 days,Google Ads,0.04,"$10,474.00",5.46,Los Angeles,English,713,9379,7,Foodies,2021-03-22
3383,TechCorp,Influencer,Men 25-34,15 days,Website,0.12,"$12,684.00",3.37,New York,German,817,5743,10,Foodies,2021-04-08
3427,NexGen Systems,Social Media,Women 25-34,15 days,Facebook,0.03,"$19,304.00",7.67,Houston,German,230,6281,7,Health & Wellness,2021-05-22
3449,Innovate Industries,Display,Men 18-24,30 days,YouTube,0.14,"$7,573.00",5.54,Chicago,English,777,2699,3,Foodies,2021-06-13
3452,TechCorp,Social Media,Men 25-34,45 days,Email,0.04,"$19,798.00",2.53,Houston,Mandarin,633,8068,1,Outdoor Adventurers,2021-06-16
3464,Alpha Innovations,Social Media,Men 25-34,30 days,Google Ads,0.05,"$12,346.00",3.99,Houston,English,768,1518,5,Tech Enthusiasts,2021-06-28
3508,Alpha Innovations,Social Media,All Ages,15 days,Website,0.07,"$7,972.00",7.71,Los Angeles,German,896,7942,1,Health & Wellness,2021-08-11
3631,DataTech Solutions,Search,Women 25-34,30 days,YouTube,0.11,"$15,776.00",3.59,New York,Mandarin,152,6015,9,Fashionistas,2021-12-12
3659,Alpha Innovations,Email,All Ages,30 days,Website,0.08,"$14,773.00",2.66,Miami,Spanish,845,5530,9,Health & Wellness,2021-01-09
3677,Alpha Innovations,Email,All Ages,30 days,YouTube,0.06,"$10,998.00",3.38,New York,Mandarin,460,4327,9,Outdoor Adventurers,2021-01-27
3696,TechCorp,Display,Women 35-44,30 days,Google Ads,0.07,"$8,693.00",6.57,Houston,German,429,7581,2,Tech Enthusiasts,2021-02-15
3746,TechCorp,Influencer,Women 35-44,45 days,Instagram,0.15,"$8,685.00",6.74,New York,Mandarin,683,5134,7,Foodies,2021-04-06
3798,Alpha Innovations,Search,Women 35-44,60 days,Website,0.12,"$6,722.00",3.37,Los Angeles,French,522,3102,2,Tech Enthusiasts,2021-05-28
3886,DataTech Solutions,Social Media,Women 35-44,60 days,Google Ads,0.01,"$9,297.00",7.66,Los Angeles,French,910,6860,4,Outdoor Adventurers,2021-08-24
3888,Alpha Innovations,Display,Men 25-34,45 days,YouTube,0.11,"$16,254.00",7.5,Houston,Mandarin,940,9159,10,Tech Enthusiasts,2021-08-26
3897,DataTech Solutions,Display,Men 25-34,15 days,Google Ads,0.05,"$12,298.00",3.62,Miami,French,152,1450,4,Tech Enthusiasts,2021-09-04
3902,NexGen Systems,Email,Women 25-34,30 days,YouTube,0.08,"$13,457.00",3.56,Los Angeles,German,397,9801,8,Outdoor Adventurers,2021-09-09
3914,Alpha Innovations,Social Media,Women 35-44,15 days,Website,0.06,"$13,397.00",4.9,Miami,French,175,5156,6,Tech Enthusiasts,2021-09-21
3955,DataTech Solutions,Display,Women 25-34,60 days,Facebook,0.11,"$15,581.00",2.81,Miami,French,481,1290,6,Health & Wellness,2021-11-01
3983,NexGen Systems,Display,Women 25-34,60 days,Website,0.08,"$16,980.00",6.87,Houston,German,180,1440,1,Foodies,2021-11-29
3998,Innovate Industries,Social Media,All Ages,45 days,YouTube,0.04,"$11,840.00",4.29,Houston,French,180,8456,8,Tech Enthusiasts,2021-12-14
4033,Alpha Innovations,Display,All Ages,45 days,Google Ads,0.12,"$15,459.00",7.76,New York,German,140,9739,1,Foodies,2021-01-18
4051,Innovate Industries,Display,All Ages,60 days,Email,0.02,"$14,455.00",7.88,Chicago,Spanish,995,9666,9,Tech Enthusiasts,2021-02-05
4083,TechCorp,Social Media,Women 25-34,60 days,Facebook,0.15,"$15,909.00",4.23,New York,Spanish,266,6822,1,Fashionistas,2021-03-09
4190,NexGen Systems,Search,Men 18-24,60 days,Facebook,0.05,"$19,452.00",4.48,Miami,English,445,3133,2,Foodies,2021-06-24
4191,NexGen Systems,Display,Women 35-44,60 days,Website,0.06,"$6,740.00",2.89,New York,English,593,4152,4,Fashionistas,2021-06-25
4233,DataTech Solutions,Search,Women 35-44,45 days,Email,0.09,"$6,953.00",6.61,New York,English,829,5177,10,Outdoor Adventurers,2021-08-06
4271,TechCorp,Social Media,Women 35-44,45 days,Instagram,0.04,"$10,604.00",7.7,Los Angeles,Spanish,806,1750,7,Outdoor Adventurers,2021-09-13
4404,NexGen Systems,Influencer,All Ages,15 days,Google Ads,0.06,"$12,481.00",7.9,Houston,Spanish,392,1211,6,Fashionistas,2021-01-24
4561,NexGen Systems,Influencer,Men 18-24,15 days,YouTube,0.03,"$17,384.00",2.39,Miami,Mandarin,626,2748,6,Health & Wellness,2021-06-30
