Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Duration_Days,Channel_Used,Conversion_Rate,Conversion_Rate_Pct,Acquisition_Cost,ROI,ROI_Bucket,Revenue_Generated,Net_Profit,Location,Language,Clicks,Impressions,CTR_Pct,Cost_Per_Click,Est_Conversions,Cost_Per_Conversion,Engagement_Score,Customer_Segment,Date,Year,Month,Month_Name,Quarter
5,NexGen Systems,Email,Men 25-34,15 days,15,YouTube,0.05,5.0,16452.0,6.5,High ROI (6x+),106938.0,90486.0,Los Angeles,Mandarin,379,4201,9.021661509164485,43.4089709762533,19.0,865.8947368421053,3,Health & Wellness,2021-01-05,2021,1,Jan,1
7,NexGen Systems,Email,Women 35-44,60 days,60,Website,0.13,13.0,11067.0,2.86,Low ROI (<3x),31651.62,20584.62,Los Angeles,Spanish,817,8749,9.338210081152132,13.545899632802938,106.0,104.40566037735849,10,Tech Enthusiasts,2021-01-07,2021,1,Jan,1
13,TechCorp,Social Media,Men 25-34,60 days,60,Facebook,0.09,9.0,17189.0,4.91,Medium ROI (3x-6x),84397.99,67208.99,Chicago,Mandarin,677,8817,7.678348644663719,25.389955686853767,61.0,281.78688524590166,10,Tech Enthusiasts,2021-01-13,2021,1,Jan,1
34,Alpha Innovations,Influencer,Women 25-34,45 days,45,Google Ads,0.14,14.000000000000002,15082.0,2.71,Low ROI (<3x),40872.22,25790.22,Los Angeles,German,243,5724,4.245283018867925,62.065843621399175,34.0,443.5882352941176,4,Health & Wellness,2021-02-03,2021,2,Feb,1
71,Alpha Innovations,Search,Men 25-34,30 days,30,Website,0.13,13.0,18201.0,5.58,Medium ROI (3x-6x),101561.58,83360.58,New York,German,202,6745,2.994810971089696,90.1039603960396,26.0,700.0384615384615,8,Tech Enthusiasts,2021-03-12,2021,3,Mar,1
102,TechCorp,Search,Men 18-24,45 days,45,YouTube,0.09,9.0,9941.0,4.54,Medium ROI (3x-6x),45132.14,35191.14,Chicago,English,207,8334,2.4838012958963285,48.02415458937198,19.0,523.2105263157895,4,Tech Enthusiasts,2021-04-12,2021,4,Apr,2
106,Innovate Industries,Social Media,Women 25-34,30 days,30,Email,0.09,9.0,7541.0,3.35,Medium ROI (3x-6x),25262.35,17721.350000000002,Chicago,Spanish,560,3439,16.28380343123001,13.466071428571428,50.0,150.82,7,Fashionistas,2021-04-16,2021,4,Apr,2
129,Alpha Innovations,Email,Men 18-24,45 days,45,Instagram,0.06,6.0,10639.0,4.32,Medium ROI (3x-6x),45960.48,35321.48,New York,Spanish,166,5735,2.894507410636443,64.09036144578313,10.0,1063.9,10,Health & Wellness,2021-05-09,2021,5,May,2
239,Innovate Industries,Social Media,Women 25-34,60 days,60,Email,0.08,8.0,18074.0,5.99,Medium ROI (3x-6x),108263.26,90189.26,Chicago,German,587,4909,11.957628844978611,30.79045996592845,47.0,384.5531914893617,5,Outdoor Adventurers,2021-08-27,2021,8,Aug,3
286,TechCorp,Email,Women 35-44,45 days,45,YouTube,0.06,6.0,11813.0,6.03,High ROI (6x+),71232.39,59419.39,Miami,German,441,6520,6.763803680981595,26.78684807256236,26.0,454.34615384615387,6,Fashionistas,2021-10-13,2021,10,Oct,4
322,DataTech Solutions,Display,Women 25-34,30 days,30,Email,0.02,2.0,5720.0,3.2,Medium ROI (3x-6x),18304.0,12584.0,Chicago,English,568,5613,10.119365758061642,10.070422535211268,11.0,520.0,6,Foodies,2021-11-18,2021,11,Nov,4
550,NexGen Systems,Email,Women 35-44,15 days,15,Website,0.05,5.0,5279.0,7.26,High ROI (6x+),38325.54,33046.54,Los Angeles,English,973,1947,49.97431946584489,5.425488180883864,49.0,107.73469387755102,2,Outdoor Adventurers,2021-07-04,2021,7,Jul,3
574,TechCorp,Social Media,Women 35-44,30 days,30,Email,0.04,4.0,12024.0,7.03,High ROI (6x+),84528.72,72504.72,Miami,English,971,7660,12.676240208877283,12.383110195674565,39.0,308.3076923076923,3,Health & Wellness,2021-07-28,2021,7,Jul,3
612,Alpha Innovations,Email,Men 18-24,15 days,15,Website,0.11,11.0,10653.0,3.95,Medium ROI (3x-6x),42079.35,31426.35,Miami,Spanish,670,2367,28.30587241233629,15.9,74.0,143.95945945945945,2,Fashionistas,2021-09-04,2021,9,Sep,3
719,NexGen Systems,Social Media,Men 25-34,30 days,30,Instagram,0.14,14.000000000000002,7184.0,2.42,Low ROI (<3x),17385.28,10201.28,Chicago,French,525,7470,7.028112449799197,13.683809523809524,74.0,97.08108108108108,8,Fashionistas,2021-12-20,2021,12,Dec,4
796,NexGen Systems,Display,All Ages,30 days,30,Facebook,0.13,13.0,8079.0,6.95,High ROI (6x+),56149.05,48070.05,Miami,Spanish,912,5938,15.358706635230718,8.858552631578947,119.0,67.89075630252101,7,Tech Enthusiasts,2021-03-07,2021,3,Mar,1
810,TechCorp,Influencer,Men 25-34,60 days,60,Facebook,0.05,5.0,13552.0,7.52,High ROI (6x+),101911.04,88359.04,Chicago,Mandarin,141,5741,2.456018115310921,96.11347517730496,7.0,1936.0,4,Health & Wellness,2021-03-21,2021,3,Mar,1
937,Innovate Industries,Search,Men 18-24,45 days,45,Google Ads,0.15,15.0,18187.0,7.57,High ROI (6x+),137675.59,119488.59,Los Angeles,Spanish,240,7918,3.0310684516291992,75.77916666666667,36.0,505.19444444444446,2,Foodies,2021-07-26,2021,7,Jul,3
948,Alpha Innovations,Search,Women 25-34,15 days,15,Instagram,0.06,6.0,7000.0,5.9,Medium ROI (3x-6x),41300.0,34300.0,Miami,German,868,8308,10.44776119402985,8.064516129032258,52.0,134.6153846153846,7,Fashionistas,2021-08-06,2021,8,Aug,3
950,NexGen Systems,Social Media,Men 25-34,45 days,45,Email,0.05,5.0,9139.0,2.13,Low ROI (<3x),19466.07,10327.07,Miami,German,193,8708,2.216352779053744,47.35233160621762,10.0,913.9,1,Fashionistas,2021-08-08,2021,8,Aug,3
1018,TechCorp,Display,Men 18-24,60 days,60,Facebook,0.03,3.0,14418.0,3.64,Medium ROI (3x-6x),52481.52,38063.52,New York,Mandarin,234,5821,4.019927847448892,61.61538461538461,7.0,2059.714285714286,2,Fashionistas,2021-10-15,2021,10,Oct,4
1028,TechCorp,Display,Men 18-24,45 days,45,YouTube,0.07,7.000000000000001,10731.0,7.32,High ROI (6x+),78550.92,67819.92,Chicago,English,857,2466,34.75263584752636,12.521586931155191,60.0,178.85,10,Outdoor Adventurers,2021-10-25,2021,10,Oct,4
1037,NexGen Systems,Display,Men 18-24,30 days,30,Email,0.06,6.0,15339.0,4.61,Medium ROI (3x-6x),70712.79000000001,55373.79000000001,Los Angeles,Mandarin,998,8871,11.250140908578514,15.369739478957916,60.0,255.65,4,Health & Wellness,2021-11-03,2021,11,Nov,4
1041,TechCorp,Search,Women 25-34,45 days,45,Facebook,0.04,4.0,19324.0,7.98,High ROI (6x+),154205.52000000002,134881.52000000002,Houston,French,886,2683,33.02273574357063,21.810383747178328,35.0,552.1142857142858,7,Outdoor Adventurers,2021-11-07,2021,11,Nov,4
1046,DataTech Solutions,Influencer,Women 35-44,30 days,30,Google Ads,0.13,13.0,5661.0,3.42,Medium ROI (3x-6x),19360.62,13699.62,Los Angeles,Mandarin,913,6158,14.826242286456642,6.200438116100767,119.0,47.57142857142857,1,Foodies,2021-11-12,2021,11,Nov,4
1060,Innovate Industries,Email,Men 25-34,30 days,30,Facebook,0.07,7.000000000000001,18797.0,4.23,Medium ROI (3x-6x),79511.31000000001,60714.31000000001,Miami,French,326,7544,4.321314952279957,57.65950920245399,23.0,817.2608695652174,2,Health & Wellness,2021-11-26,2021,11,Nov,4
1070,Alpha Innovations,Email,Women 35-44,60 days,60,Email,0.14,14.000000000000002,15534.0,3.85,Medium ROI (3x-6x),59805.9,44271.9,Miami,English,405,8649,4.682622268470343,38.355555555555554,57.0,272.5263157894737,2,Tech Enthusiasts,2021-12-06,2021,12,Dec,4
1071,DataTech Solutions,Social Media,Men 25-34,60 days,60,Website,0.11,11.0,7980.0,7.49,High ROI (6x+),59770.2,51790.2,Miami,English,754,5957,12.65737787476918,10.583554376657824,83.0,96.144578313253,1,Health & Wellness,2021-12-07,2021,12,Dec,4
1102,Alpha Innovations,Search,Men 25-34,60 days,60,Website,0.05,5.0,19242.0,3.42,Medium ROI (3x-6x),65807.64,46565.64,Chicago,Spanish,721,3441,20.95321127579192,26.687933425797503,36.0,534.5,4,Tech Enthusiasts,2021-01-07,2021,1,Jan,1
1157,Innovate Industries,Display,Women 25-34,15 days,15,Google Ads,0.01,1.0,6939.0,5.87,Medium ROI (3x-6x),40731.93,33792.93,New York,German,868,9416,9.218351741716228,7.994239631336406,9.0,771.0,8,Foodies,2021-03-03,2021,3,Mar,1
1225,Alpha Innovations,Email,Women 35-44,45 days,45,Instagram,0.1,10.0,10539.0,3.27,Medium ROI (3x-6x),34462.53,23923.53,Houston,Spanish,908,2673,33.96932285821175,11.6068281938326,91.0,115.81318681318682,2,Tech Enthusiasts,2021-05-10,2021,5,May,2
1345,Innovate Industries,Influencer,Women 25-34,45 days,45,Facebook,0.14,14.000000000000002,8670.0,5.14,Medium ROI (3x-6x),44563.8,35893.8,Chicago,French,538,2979,18.059751594494795,16.11524163568773,75.0,115.6,4,Fashionistas,2021-09-07,2021,9,Sep,3
1399,NexGen Systems,Search,All Ages,60 days,60,Google Ads,0.04,4.0,10336.0,2.98,Low ROI (<3x),30801.28,20465.28,Houston,German,561,3756,14.936102236421725,18.424242424242426,22.0,469.8181818181818,5,Fashionistas,2021-10-31,2021,10,Oct,4
1417,DataTech Solutions,Search,Women 25-34,30 days,30,Facebook,0.04,4.0,10426.0,7.48,High ROI (6x+),77986.48000000001,67560.48000000001,Houston,German,428,4413,9.69861772037163,24.35981308411215,17.0,613.2941176470588,10,Tech Enthusiasts,2021-11-18,2021,11,Nov,4
1418,NexGen Systems,Email,Women 35-44,30 days,30,Email,0.05,5.0,14363.0,6.68,High ROI (6x+),95944.84,81581.84,New York,German,797,4606,17.303517151541467,18.021329987452948,40.0,359.075,10,Outdoor Adventurers,2021-11-19,2021,11,Nov,4
1458,DataTech Solutions,Display,Women 35-44,60 days,60,Instagram,0.12,12.0,15289.0,6.04,High ROI (6x+),92345.56,77056.56,Miami,English,715,5090,14.047151277013754,21.383216783216785,86.0,177.77906976744185,1,Tech Enthusiasts,2021-12-29,2021,12,Dec,4
1473,Innovate Industries,Social Media,Women 25-34,60 days,60,Email,0.01,1.0,7215.0,7.32,High ROI (6x+),52813.8,45598.8,Miami,English,616,9826,6.269082027274578,11.712662337662335,6.0,1202.5,1,Tech Enthusiasts,2021-01-13,2021,1,Jan,1
1551,TechCorp,Display,Women 25-34,60 days,60,Facebook,0.01,1.0,6311.0,6.34,High ROI (6x+),40011.74,33700.74,Miami,English,169,5535,3.053297199638663,37.34319526627219,2.0,3155.5,9,Outdoor Adventurers,2021-04-01,2021,4,Apr,2
1573,DataTech Solutions,Influencer,All Ages,15 days,15,Facebook,0.13,13.0,12918.0,2.13,Low ROI (<3x),27515.34,14597.34,Chicago,German,690,6400,10.78125,18.721739130434784,90.0,143.53333333333333,5,Health & Wellness,2021-04-23,2021,4,Apr,2
1576,NexGen Systems,Display,Women 25-34,45 days,45,YouTube,0.07,7.000000000000001,12511.0,3.99,Medium ROI (3x-6x),49918.89,37407.89,New York,English,139,7845,1.7718291905672403,90.00719424460432,10.0,1251.1,10,Foodies,2021-04-26,2021,4,Apr,2
1577,Alpha Innovations,Influencer,Men 18-24,60 days,60,YouTube,0.11,11.0,5757.0,3.58,Medium ROI (3x-6x),20610.06,14853.06,Chicago,English,883,9726,9.078757968332306,6.519818799546999,97.0,59.350515463917525,1,Outdoor Adventurers,2021-04-27,2021,4,Apr,2
1649,Innovate Industries,Display,Men 25-34,30 days,30,YouTube,0.04,4.0,19072.0,4.71,Medium ROI (3x-6x),89829.12,70757.12,New York,Mandarin,768,7851,9.782193351165455,24.83333333333333,31.0,615.2258064516129,5,Health & Wellness,2021-07-08,2021,7,Jul,3
1688,Alpha Innovations,Email,Men 25-34,30 days,30,Instagram,0.11,11.0,9951.0,5.46,Medium ROI (3x-6x),54332.46,44381.46,New York,Spanish,359,5375,6.67906976744186,27.71866295264624,39.0,255.15384615384616,5,Outdoor Adventurers,2021-08-16,2021,8,Aug,3
1742,DataTech Solutions,Search,All Ages,45 days,45,Google Ads,0.11,11.0,14226.0,6.91,High ROI (6x+),98301.66,84075.66,Los Angeles,French,283,8984,3.150044523597507,50.26855123674912,31.0,458.9032258064516,7,Health & Wellness,2021-10-09,2021,10,Oct,4
1791,Alpha Innovations,Search,Women 35-44,15 days,15,YouTube,0.05,5.0,15501.0,7.01,High ROI (6x+),108662.01,93161.01,Houston,English,285,9223,3.0901008348693484,54.38947368421053,14.0,1107.2142857142858,2,Fashionistas,2021-11-27,2021,11,Nov,4
1854,DataTech Solutions,Social Media,Women 35-44,45 days,45,Email,0.14,14.000000000000002,5482.0,7.78,High ROI (6x+),42649.96,37167.96,Los Angeles,Mandarin,418,8584,4.869524697110903,13.114832535885167,59.0,92.91525423728814,7,Tech Enthusiasts,2021-01-29,2021,1,Jan,1
1902,NexGen Systems,Display,Women 35-44,60 days,60,Website,0.12,12.0,12437.0,7.47,High ROI (6x+),92904.39,80467.39,Los Angeles,German,157,9335,1.6818425281199787,79.21656050955414,19.0,654.578947368421,2,Tech Enthusiasts,2021-03-18,2021,3,Mar,1
1934,TechCorp,Influencer,Men 25-34,30 days,30,Email,0.13,13.0,18792.0,7.96,High ROI (6x+),149584.32,130792.32,Miami,Spanish,285,1214,23.476112026359143,65.93684210526315,37.0,507.8918918918919,7,Foodies,2021-04-19,2021,4,Apr,2
1966,TechCorp,Display,All Ages,60 days,60,Facebook,0.04,4.0,17873.0,4.95,Medium ROI (3x-6x),88471.35,70598.35,Los Angeles,Mandarin,754,3624,20.805739514348787,23.70424403183024,30.0,595.7666666666667,4,Tech Enthusiasts,2021-05-21,2021,5,May,2
1977,DataTech Solutions,Social Media,Women 35-44,15 days,15,YouTube,0.07,7.000000000000001,9998.0,4.5,Medium ROI (3x-6x),44991.0,34993.0,Miami,French,807,8839,9.1299920805521,12.38909541511772,56.0,178.53571428571428,3,Fashionistas,2021-06-01,2021,6,Jun,2
2000,NexGen Systems,Search,All Ages,30 days,30,Website,0.06,6.0,9122.0,4.61,Medium ROI (3x-6x),42052.420000000006,32930.420000000006,New York,German,830,3743,22.174726155490248,10.990361445783131,50.0,182.44,6,Outdoor Adventurers,2021-06-24,2021,6,Jun,2
2003,DataTech Solutions,Search,All Ages,30 days,30,YouTube,0.13,13.0,17916.0,6.04,High ROI (6x+),108212.64,90296.64,New York,German,797,9976,7.989174017642342,22.4792973651192,104.0,172.26923076923077,2,Fashionistas,2021-06-27,2021,6,Jun,2
2041,TechCorp,Search,Women 35-44,45 days,45,Website,0.07,7.000000000000001,15095.0,6.76,High ROI (6x+),102042.2,86947.2,Chicago,French,425,5051,8.41417541080974,35.51764705882353,30.0,503.1666666666667,1,Tech Enthusiasts,2021-08-04,2021,8,Aug,3
2114,Innovate Industries,Influencer,All Ages,30 days,30,Website,0.09,9.0,17575.0,4.14,Medium ROI (3x-6x),72760.5,55185.5,New York,Mandarin,305,2454,12.428687856560718,57.62295081967213,27.0,650.925925925926,2,Outdoor Adventurers,2021-10-16,2021,10,Oct,4
2153,NexGen Systems,Search,Women 35-44,30 days,30,Instagram,0.11,11.0,8265.0,3.41,Medium ROI (3x-6x),28183.65,19918.65,Los Angeles,Spanish,752,8553,8.792236642113878,10.9906914893617,83.0,99.57831325301204,7,Tech Enthusiasts,2021-11-24,2021,11,Nov,4
2265,Alpha Innovations,Search,Men 18-24,15 days,15,Email,0.14,14.000000000000002,17422.0,5.18,Medium ROI (3x-6x),90245.96,72823.95999999999,Miami,Mandarin,538,2472,21.763754045307444,32.38289962825279,75.0,232.2933333333333,10,Foodies,2021-03-16,2021,3,Mar,1
2332,DataTech Solutions,Influencer,All Ages,60 days,60,Facebook,0.02,2.0,15554.0,6.71,High ROI (6x+),104367.34,88813.34,Los Angeles,Spanish,232,7129,3.2543133679337912,67.04310344827586,5.0,3110.8,10,Foodies,2021-05-22,2021,5,May,2
2347,NexGen Systems,Influencer,Men 18-24,45 days,45,Website,0.02,2.0,17991.0,6.95,High ROI (6x+),125037.45,107046.45,New York,Mandarin,128,7169,1.785465197377598,140.5546875,3.0,5997.0,6,Health & Wellness,2021-06-06,2021,6,Jun,2
